reference,from_in_text_selection,article,quote,coder,page,reference_type
PMC5478307_Wang-2010,PMC5478307_MS03,PMC5478307,"Wang K, Li M, Hakonarson H. ANNOVAR: functional annotation ofgenetic variants from high-throughput sequencing data. Nucleic AcidsRes 2010;38:e164.",mjsong1201,7,publication
PMC3749458_Kumar-2004,PMC3749458_MZ03,PMC3749458,"Kumar, S., Tamura, K. and Nei, M. 2004. MEGA3: integratedsoftware for m olecular evolutionary genetics analysis andsequence alignment. Brief Bioinform. 5:150-163.",oceanwall,5,publication
PMC2935446_Jones-2003,PMC2935446_AN05,PMC2935446,"Jones,D.T. and Ward,J.J. (2003) Prediction of disordered regions in proteins from position specific score matrices. Proteins, 53 (Suppl. 6), 573–578.",ankimnguyen,8,publication
a2001-40-MOL_ECOL_Swofford-1998:,a2001-40-MOL_ECOL_BB03,a2001-40-MOL_ECOL,"Swofford DL (1998) PAUP*. Phylogenetic Analysis Using Parsimony(*and Other Methods), Version 4. Sinauer Associates, Sunderland.",brentbiglin,14,project_name
a2001-40-MOL_ECOL_Swofford_1998,a2001-40-MOL_ECOL_RA06,a2001-40-MOL_ECOL,"Swofford DL (1998) PAUP*. Phylogenetic Analysis Using Parsimony(*and Other Methods), Version 4. Sinauer Associates, Sunderland",raghu-achukola,14,user_guide
PMC3281721_Tsujishita01,PMC3281721_JWC02,PMC3281721,"Tsujishita, H., and Hirono, S. (1997) CAMDAS, an automated conforma-tional analysis system using molecular dynamics. Conformational ana-lyzer with molecular dynamics and sampling.J. Comput. Aided Mol. Des.11,305–315",jackchristen,12,publication
10.1111%2Fj.1467-6419.2007.00527.x_Abadie-et-al-2004,10.1111%2Fj.1467-6419.2007.00527.x_MD04,10.1111%2Fj.1467-6419.2007.00527.x,"Abadie, A., Drukker, D., Leber Herr, J. and Imbens, G. (2004) Implementing match-ing estimators for average treatment effects in STATA. Stata Journal 4(3): 290–311.",mrcyndns,38,publication
PMC1636350-Do-2005,PMC1636350_MS22,PMC1636350,"Do,C.B., Mahabhashyam,M.S., Brudno,M. and Batzoglou,S. (2005)ProbCons: probabilistic consistency-based multiple sequencealignment.Genome Res.,15, 330–340.",mjsong1201,3,publication
doi-cited:10.1111%2F1468-0106.12204_Verardi-2009,10.1111%2F1468-0106.12204_TL01,10.1111%2F1468-0106.12204,"Verardi V. and C. Croux (2009) ‘Robust regression in Stata’, Stata Journal 9, 439–453.
",tonyli0409,39,publication
10.1007%2Fs10683-017-9548-x_Greiner-2015,10.1007%2Fs10683-017-9548-x_TL01,10.1007%2Fs10683-017-9548-x,"Greiner, B. (2015). Subject pool recruitment procedures: organizing experiments with orsee. Journal of
the Economic Science Association, 1(1), 114–125.",tonyli0409,27,publication
PMC4010924_Doyle01,PMC4010924_JWC05,PMC4010924,"Doyle, E. L.et al. TAL Effector-Nucleotide Targeter (TALE-NT) 2.0: tools for TALeffector design and target prediction.Nucleic Acids Res40, W117–W122 (2012)",jackchristen,7,publication
PMC4666316_Eddy_2012,PMC4666316_TZ32,PMC4666316,"Eddy DM, Shah R. A simulation shows limited savings from meeting quality targets under the Medicare shared savings program. Health Affairs. 2012; 31(11):2554–2562. [PubMed: 23035036] """,realrichardparker,13,publication
a2001-40-MOL_ECOL_Thompson-1994,a2001-40-MOL_ECOL_SK01,a2001-40-MOL_ECOL,"Thompson JD, Higgins DG, Gibson TJ (1994) CLUSTALW: improvingthe sensitivity of progressive multiple sequence alignmentthrough sequence weighting, position-specific gap penaltiesand weight matrix choice. Nucleic Acids Research, 22, 4673 –4680.",mrcynds,14,publication
a2001-40-MOL_ECOL_Thompson-1994,a2001-40-MOL_ECOL_SK01,a2001-40-MOL_ECOL,"Thompson JD, Higgins DG, Gibson TJ (1994) CLUSTALW: improvingthe sensitivity of progressive multiple sequence alignmentthrough sequence weighting, position-specific gap penaltiesand weight matrix choice. Nucleic Acids Research, 22, 4673 –4680.",shruthikrish,14,publication
a2001-40-MOL_ECOL_Thompson-1994,a2001-40-MOL_ECOL_SK01,a2001-40-MOL_ECOL,"Thompson JD, Higgins DG, Gibson TJ (1994) CLUSTALW: improvingthe sensitivity of progressive multiple sequence alignmentthrough sequence weighting, position-specific gap penaltiesand weight matrix choice. Nucleic Acids Research, 22, 4673 –4680",mrcynds,14,publication
a2001-40-MOL_ECOL_Thompson-1994,a2001-40-MOL_ECOL_SK01,a2001-40-MOL_ECOL,"Thompson JD, Higgins DG, Gibson TJ (1994) CLUSTALW: improvingthe sensitivity of progressive multiple sequence alignmentthrough sequence weighting, position-specific gap penaltiesand weight matrix choice. Nucleic Acids Research, 22, 4673 –4680",shruthikrish,14,publication
PMC3281721_Case_2006,PMC3281721_TZ08,PMC3281721," Case, D. A., Darden, T. A., Cheatham, T. E., III, Simmerling, C. L., Wang, J., Duke, R. E., Luo, R., Merz, K. M., Pearlman, D. A., Crowley, M., Walker, R. C., Zhang, W., Wang, B., Hayik, S., Roitberg, A., Seabra, G., Wong, K. F., Paesani, F., Wu, X., Brozell, S., Tsui, V., Gohlke, H., Yang, L., Tan, C., Mongan, J., Hornak, V., Cui, G., Beroza, P., Mathews, D. H., Schafmeister, C., Ross, W. S., and Kollman, P. A. (2006) AMBER 9, University of California, San Francisco, CA",realrichardparker,12,project_name
PMC5132076-McKenna-2010,PMC5132076_MS04,PMC5132076,"McKenna  A,  Hanna  M,  Banks  E,  et  al.  The  Genome  Analysis Toolkit:  a  MapReduce  framework  for  analyzing  next-genera-tion DNA sequencing data.Genome Res. 2010;20:1297–1303.",mjsong1201,7,publication
10.3846%2Fjbem.2010.28_Thiessen01,10.3846%2Fjbem.2010.28_JWC08,10.3846%2Fjbem.2010.28,"Thiessen, E. M.; Soberg, A. 2003. Smartsettle described with the montreal taxonomy, Group Decision and Negotiation 12(2): 165–170.",jackchristen,22,publication
PMC2529246_Hummel-2007,PMC2529246_MS04,PMC2529246,"Hummel  J,  Niemann  M,  Wienkoop  S,  Schulze  W,Steinhauser D, Selbig J, Walther D, Weckwerth W.2007.ProMEX: a mass spectral reference database for proteins andprotein phosphorylation sites.BMC Bioinformatics8,216.",mjsong1201,9,publication
PMC3028489_DUBRA_2010,PMC3028489_CM01,PMC3028489,"A.Dubraand Z.Harvey, “Registration of 2D images from fast scanning ophthalmic instruments” presented at  WBIR 2010—Workshop on Biomedical Image Registration, July 11–13 2010, Lübeck, Germany.",anneclarisse,2,publication
PMC2935446_McGuffin-2008,PMC2935446_AN14,PMC2935446,"McGuffin,L.J. (2008) Intrinsic disorder prediction from the analysis of multiple protein fold recognition models. Bioinformatics, 24, 1798–1804.",ankimnguyen,8,publication
PMC3281721_Tsujishita_1997,PMC3281721_TZ03_2,PMC3281721,"Tsujishita, H., and Hirono, S. (1997) CAMDAS, an automated conformational analysis system using molecular dynamics. Conformational analyzer with molecular dynamics and sampling. J. Comput. Aided Mol. Des. 11, 305–315",realrichardparker,12,publication
PMC3013778_Sevin-2007,PMC3013778_MZ04,PMC3013778,"Sevin,E.W. and Barloy-Hubler,F. (2007) RASTA-Bacteria: aweb-based tool for identifying toxin-antitoxin loci in prokaryotes.Genome Biol.,8, R155.",oceanwall,5,publication
PMC3064789_Leatherbarrow-1998,PMC3064789_YK01,PMC3064789,"Leatherbarrow,R.J. (1998)Grafit 6, Erithacus Software Ltd.Staines, UK",yashkar,11,project_name
PMC4615379_Busch01,PMC4615379_JWC01,PMC4615379,"Busch A, Richter AS, Backofen R. IntaRNA: efficientprediction of bacterial sRNA targets incorporating tar-get site accessibility and seed regions. Bioinformatics2008; 24:2849-56; PMID:18940824; http://dx.doi.org/10.1093/bioinformatics/btn544",jackchristen,8,publication
PMC4905837_Chen-2008,PMC4905837_MZ02,PMC4905837,"Chen, S., Cheng, A. C., Wang, M. S. and Chen, X. Y. 2008. Dy-namic changes of apoptosis in duck embryo fibroblasts induced by new type Gosling viral enteritis virus. Prog. Nat. Sci.18: 239–244.",oceanwall,5,publication
a2001-40-MOL_ECOL_Swofford-1998,a2001-40-MOL_ECOL_SK05,a2001-40-MOL_ECOL,"Swofford DL (1998) PAUP*. Phylogenetic Analysis Using Parsimony(*and Other Methods), Version 4. Sinauer Associates, Sunderland.",mrcyndns,14,user_guide
a2001-40-MOL_ECOL_Swofford-1998,a2001-40-MOL_ECOL_SK05,a2001-40-MOL_ECOL,"Swofford DL (1998) PAUP*. Phylogenetic Analysis Using Parsimony(*and Other Methods), Version 4. Sinauer Associates, Sunderland.",jcsick,14,publication
a2001-40-MOL_ECOL_Swofford-1998,a2001-40-MOL_ECOL_SK05,a2001-40-MOL_ECOL,"Swofford DL (1998) PAUP*. Phylogenetic Analysis Using Parsimony(*and Other Methods), Version 4. Sinauer Associates, Sunderland.",shruthikrish,14,user guide
a2001-40-MOL_ECOL_Swofford-1998,a2001-40-MOL_ECOL_SK05,a2001-40-MOL_ECOL,"Swofford DL (1998) PAUP*. Phylogenetic Analysis Using Parsimony(*and Other Methods), Version 4. Sinauer Associates, Sunderland",mrcyndns,14,user_guide
a2001-40-MOL_ECOL_Swofford-1998,a2001-40-MOL_ECOL_SK05,a2001-40-MOL_ECOL,"Swofford DL (1998) PAUP*. Phylogenetic Analysis Using Parsimony(*and Other Methods), Version 4. Sinauer Associates, Sunderland",jcsick,14,publication
a2001-40-MOL_ECOL_Swofford-1998,a2001-40-MOL_ECOL_SK05,a2001-40-MOL_ECOL,"Swofford DL (1998) PAUP*. Phylogenetic Analysis Using Parsimony(*and Other Methods), Version 4. Sinauer Associates, Sunderland",shruthikrish,14,user guide
Biomolecules_in_the_computer:Jmol_to_the_rescue_Herraez_2006,PMC2447781_CT23_2,PMC2447781,". Herraez,A. (2006) Biomolecules in the computer: Jmol to the rescue.Biochem. Mol. Biol. Educat.,34, 255–261",ctjoe,6,publication
PMC4176174_Scheres01,PMC4176174_JWC02,PMC4176174,"Scheres,S.H. (2010) Classification of structural heterogeneity bymaximum-likelihood methods.Methods Enzymol.,482, 295–320.",jackchristen,14,publication
PMC3198286_D’Agostino-2007,PMC3198286_MD01,PMC3198286,"D’Agostino E, Maes F, Vandermeulen D,Suetens P. Atlas-to-image non-rigid registra-tion by minimization of conditional entropy.Inf Process Med Imaging 2007;20:320–332",mrcyndns,4,publication
PMC4230620_Held-2010,PMC4230620_BB03_1,PMC4230620,"Held M, Schmitz MHA, Fischer B, Walter T, Neumann B, Olma MH, Peter M, Ellenberg J, Gerlich DW (2010). CellCognition: time-resolved pheno-type annotation in high-throughput live cell imaging. Nat Methods 7, 747–754.",brentbiglin,8,publication
10.1111%2Fj.1467-8381.2009.02008.x_Rutherford-2005,10.1111%2Fj.1467-8381.2009.02008.x_MS01,10.1111%2Fj.1467-8381.2009.02008.x,"Rutherford, T. F., 2005, GTAP6inGAMS: The dataset and static model. Paper prepared for theWorkshop on Applied General Equilibrium Modelling for Trade Policy Analysis in Russia andthe CIS; 1–9 December, Moscow, Russia.",mjsong1201,26,publication
PMC5015293-Finapres_Medical_Systems_BV-2002,PMC5015293_MS02,PMC5015293,"Finapres Medical Systems BV. Beatscope 1.1 user's guide. Arnhem,The Netherlands: FMS; 2002.",mjsong1201,19,user_guide
PMC3132874_Edgar-2004,PMC3132874_HR04,PMC3132874,Edgar RC.2004. Muscle: multiple sequence alignment with high accuracyand high throughput. Nucleic Acids Res.32:1792–1797.,henryrossiter,9,publication
PMC4066774-Flicek-2014,PMC4066774_MS05,PMC4066774,"Flicek,P., Amode,M.R., Barrell,D., Beal,K., Billis,K., Brent,S.,
Carvalho-Silva,D., Clapham,P., Coates,G., Fitzgerald,S. et al.
(2014) Ensembl 2014. Nucleic Acids Res., 42, D749–D755.",mjsong1201,13,publication
PMC3246293_Harris-2009,PMC3246293_JS53,PMC3246293,"Harris, P. A., Taylor, R., Thielke, R.,
Payne, J., Gonzalez, N., and Conde,
J. G. (2009). Research electronic data
capture (REDCap) – a metadatadriven
methodology and workflow
process for providing translational
research informatics support. J. Biomed.
Inform. 42, 377–381. [Research
Support, N.I.H., Extramural].",jaskiratsingh23,8,publication
PMC3400965_Gouzy-2009,PMC3400965_AN02,PMC3400965,"Gouzy,J. et al. (2009) FrameDP: sensitive peptide detection on noisy matured sequences. Bioinformatics, 25, 670–671.",ankimnguyen,2,publication
10.1007%2Fs00191-018-0558-4_R-2009,10.1007%2Fs00191-018-0558-4_TL06,10.1007%2Fs00191-018-0558-4,"R Development Core Team (2009) R: a language and environment for statistical computing, R foundation
for statistical computing. Vienna, Austria. ISBN 3-900051-07-0. http://www.R-project.org",tonyli0409,36,project_page
PMC1636350_PEI-2003,PMC1636350_CM135,PMC1636350,"Pei,J., Sadreyev,R. and Grishin,N.V. (2003) PCMA: fast and accuratemultiple sequence alignment based on profile consistency.Bioinformatics,19, 427–428.",anneclarisse,11,publication
PMC4375646_js-2001,PMC4375646_YK06,PMC4375646,"Jenkinson, M., Smith, S., 2001. A global optimisation method for robust af
fi
ne registration
of brain images. Med. Image Anal. 5 (2), 143
–
156",yashkar,9,publication
PMC4375646_jk-2002,PMC4375646_YK06,PMC4375646,"Jenkinson, M., Bannister, P., Brady, M., Smith, S., 2002. Improved optimization
for the robust and accurate linear regis
tration and motion correction of brain
images. Neuroimage 17 (2), 825
–
841",yashkar,9,publication
PMC2626662_Lovell01,PMC2626662_JWC21,PMC2626662," Lovell ,  S.C. ,  I.W. Davis ,  W.B. Arendall ,  P.I.W. deBakker ,  J.M. Word , M.G. Prisant ,  J.S. Richardson , and  D.C. Richardson .  2003 .  Structure vali-dation by C-alpha geometry: phi, psi and C-beta deviation. Proteins Struct. Funct. Genet.50 : 437 – 450 . ",jackchristen,11,publication
PMC4666316_TZ07_Williams_2013,PMC4666316_TZ07,PMC4666316,"Williams K, Arthur A, Niedens M, Moushey L, Hutfles L. In-home monitoring support for dementia caregivers: a feasibility study. Clin Nurs Res. 2013; 22(2):139–150. [PubMed:22997349] ",realrichardparker,13,publication
PMC4103605-VAN_PUYVELDE-2010,PMC4103605_MS08,PMC4103605,"VAN PUYVELDE   ,      K .    ,      A .       VAN GEERT   ,  AND     L .       TRIEST  .   2010 .      ATETRA,  a  new software program to analyse tetraploid microsatellite data: Comparison with TETRA and TETRASAT.    Molecular Ecology Resources     1 0  :   331 – 334 .     ",mjsong1201,3,publication
PMC3365791_Pagliari_2007,PMC3365791_TZ08,PMC3365791," Pagliari C, Detmer D, Singleton P. Potential of Electronic
    Personal Health Records. BMJ 2007;335:330 – 333",realrichardparker,7,publication
PMC3365791_Tang_2006,PMC3365791_TZ08,PMC3365791,"Tang P, Ash J, Bates DA, Overhage M, Sands D. Personal
    Health Records: Definitions, Benefits, and Strategies for
    Overcoming Barriers to Adoption. J Am Med Inform Assoc.
    2006;13:121 – 126",realrichardparker,7,publication
PMC4327489_Dean_AG-1994,PMC4327489_SS01,PMC4327489,"Dean AG, Dean JA, Coulombier D, Brendel KA, Smith DC, BurtonAH, et al. Center of Disease Control on Prevention, World HealthOrganization. Epi Info, version 6: a word processing data base andstatistics program for epidemiology on microcomputers [software].Atlanta: OPAS/WHO; 1994. Atlanta, Georgia; 1994. 589p.",sahilshahh,6,project_name
PMC4135079_SUNDIALS,PMC4135079_FJ03,PMC4135079,"Hindmarsh A, Brown P, Grant K, Lee S, Serban R, Shumaker D, et al. SUNDIALS: Suite of nonlinear and differential/algebraic equation solvers. ACM Transactions on Mathematical Software (TOMS). 2005; 31:363–396. http://dx.doi.org/10.1145/1089014.1089020.",jasleen29,15,project_name
PMC4135079_CHASTE,PMC4135079_FJ03,PMC4135079,"Pitt-Francis J, Pathmanathan P, Bernabeu M, Bordas R, Cooper J, Fletcher A, et al. Chaste: A test- driven approach to software development for biological modelling. Computer Physics Communications. 2009; 180:2452–2471. http://dx.doi.org/10.1016/j.cpc.2009.07.01.",jasleen29,16,publication
PMC4123385_yeh-1999,PMC4123385_HR03,PMC4123385,"  YEH   ,     F.  C.   ,     R.  C.      YANG   ,  AND     T .       BOYLE  .   1999 .     POPGENE  version  1.32: Microsoft Windows–based freeware for population genetic analy-sis, quick user guide. Center for International Forestry Research, University of Alberta, Edmonton, Alberta, Canada.  ",henryrossiter,3,user_guide
PMC1636350_DO-2005,PMC1636350_CM42,PMC1636350,"Do,C.B., Mahabhashyam,M.S., Brudno,M. and Batzoglou,S. (2005)ProbCons: probabilistic consistency-based multiple sequencealignment.Genome Res.,15, 330–340.",anneclarisse,11,publication
PMC2447753_Washietl_2005,PMC2447753_TZ05,PMC2447753,"Washietl,S., Hofacker,I.L. and Stadler,P.F. (2005) Fast and reliableprediction of noncoding RNAs.Proc. Natl Acad. Sci. USA,102,2454–2459.",realrichardparker,4,publication
PMC1635254_Hubbard-2001,PMC1635254_MS01,PMC1635254,"Hubbard,T., Barker,D., Birney,E., Cameron,G., Chen,Y., Clark,L.,Cox,T., Cuff,J., Curwen,V., Down,T.et al.(2001) The Ensemblgenome database project.Nucleic Acids Res.,30, 38–41.",mjsong1201,11,publication
PMC4797302_PyMOL01,PMC4797302_JWC14,PMC4797302,"he PyMOL Molecular Graphics System, Version 1.3 Schr ̈odinger,LLC. The PyMOL Molecular Graphics System, Version 1.3Schr ̈odinger, LLC",jackchristen,8,Project_name
PMC3329502_Bock-2005,PMC3329502_EK03,PMC3329502,"Bock C, Reither S, Mikeska T, Paulsen M, Walter J, Lengauer T. BiQ Analyzer: visualization and qual-ity control for DNA methylation data from bisul-fite sequencing. Bioinformatics 2005; 21:4067-8; PMID:16141249; http://dx.doi.org/10.1093/bioinfor-matics/bti652.",evelynkue,8,publication
PMC3280600_TZ01_Chaves_2002,PMC3280600_TZ01,PMC3280600,"Chaves, L. F. & Pascual, M. Climate cycles and forecasts of cutaneous leishmaniasis, a nonstationary vector-borne disease. PLoS Med 3, e295 (2006).",realrichardparker,6,publication
PMC4755524_Jones-2014,PMC4755524_CM01,PMC4755524,"Jones, P., Binns, D., Chang, H.Y., et al. 2014, InterProScan 5: genome-scaleprotein function classification,Bioinformatics,30, 1236–40.",anneclarisse,8,publication
PMC4826955_Anderst-2009,PMC4826955_MZ03,PMC4826955,"Anderst W, Zauel R, Bishop J, Demps E, Tashman S. Validation ofthree-dimensional model-based tibio-femoral tracking during run-ning.Med Eng Phys. 2009;31:10-16.",oceanwall,8,publication
PMC4826955_Anderst-2003,PMC4826955_MZ03,PMC4826955,"Anderst WJ, Tashman S. A method to estimate in vivo dynamic articu-lar surface interaction.J Biomech. 2003;36:1291-1299.",oceanwall,8,publication
PMC4826955_Tashman-2007,PMC4826955_MZ03,PMC4826955,"Tashman S, Kolowich P, Collon D, Anderson K, Anderst W. Dynamicfunction of the ACL-reconstructed knee during running.Clin  OrthopRelat Res. 2007;454:66-73.",oceanwall,8,publication
10.1257%2Fjep.25.3.83_Becker-2002,10.1257%2Fjep.25.3.83_TL02,10.1257%2Fjep.25.3.83,"Becker, Sascha O., and Andrea Ichino. 2002.
“Estimation of Average Treatment Effects based on
Propensity Scores.” STATA Journal 2(4): 358–77",tonyli0409,24,publication
PMC3494016_Saeed_2003,PMC3494016_RA04,PMC3494016,"Saeed, A. I.et al. TM4: a free, open-source system for microarray datamanagement and analysis. Biotechniques34, 374–378 (2003).",ppseguel,12,publication
PMC1636350-Thompson-1994,PMC1636350_MS43,PMC1636350,"Thompson,J.D., Higgins,D.G. and Gibson,T.J. (1994) CLUSTAL W:improving the sensitivity of progressive multiple sequence alignmentthrough sequence weighting, position-specific gap penalties and weightmatrix choice.Nucleic Acids Res.,22, 4673–4680.",mjsong1201,10,publication
PMC3064789_Kuzmic-1996,PMC3064789_YK03,PMC3064789,"Kuzmic,P. (1996) Program DYNAFIT for the analysis of enzyme
kinetic data: application to HIV proteinase.
Anal. Biochem.
,
237
,
260–273",yashkar,11,publication
PMC3064789_Kuzmic-2009,PMC3064789_YK03,PMC3064789,"Kuzmic,P. (2009) DynaFit - a software package for enzymology.
Methods Enzymol.
,
467
, 247–280.",yashkar,11,publication
PMC5054108_Fankhauser01,PMC5054108_JWC17,PMC5054108,"Fankhauser, N. and M ̈aser, P. 2005.  Identificationof GPI anchor attachment signals by a Kohonen self-organizing map.Bioinformatics21: 1846-1852.",jackchristen,10,publication
PMC5210542_Quinlan01,PMC5210542_JWC11,PMC5210542,"Quinlan,A.R. and Hall,I.M. (2010) BEDTools: a flexible suite ofutilities for comparing genomic features.Bioinformatics,26, 841–842.",jackchristen,9,publication
PMC3256755_Ihaka-1996,PMC3256755_MP04,PMC3256755,"Ihaka R, Gentleman R. R: a language for data analysis andgraphics.J Comput Graph Stat 1996;5: 299–314.",meganpearson,11,publication
PMC3589787_Hall-1999,PMC3589787_BB03,PMC3589787,"Hall TA. 1999. BioEdit: A user-friendly biological sequence alignment editor
and analysis program for Windows 95/98/NT. Nucleic Acids Symposium
Series 41: 95–98.",brentbiglin,15,publication
PMC3589787_Hall-1999,PMC3589787_BB03,PMC3589787,"Hall TA. 1999. BioEdit: A user-friendly biological sequence alignment editor
and analysis program for Windows 95/98/NT. Nucleic Acids Symposium
Series 41: 95–98.",mjsong1201,15,publication
PMC3589787_Hall-1999,PMC3589787_BB03,PMC3589787,HallTA.1999.BioEdit:Auser-friendlybiologicalsequencealignmenteditorandanalysisprogramforWindows95/98/NT.NucleicAcidsSymposiumSeries41:95–98.,brentbiglin,15,publication
PMC3589787_Hall-1999,PMC3589787_BB03,PMC3589787,HallTA.1999.BioEdit:Auser-friendlybiologicalsequencealignmenteditorandanalysisprogramforWindows95/98/NT.NucleicAcidsSymposiumSeries41:95–98.,mjsong1201,15,publication
10.1111%2F1467-8462.12152_Zhang-2015,10.1111%2F1467-8462.12152_TL35,10.1111%2F1467-8462.12152,"Zhang, T. 2015, ‘Development of a mobile
application for Australia’s urban intelligence
network’, Masters thesis, University
of Melbourne.",tonyli0409,16,publication
PMC2935446_Ward-2004,PMC2935446_AN19,PMC2935446,"Ward,J.J. et al. (2004) The DISOPRED server for the prediction of protein disorder. Bioinformatics, 20, 2138–2139.",ankimnguyen,8,publication
PMC4541654_Friesner-2004,PMC4541654_MP05,PMC4541654,"Friesner RA, Banks JL, Murphy RB, Halgren TA, Klicic JJ, Mainz DT, et al. Glide: a new approach for rapid, accurate docking and scoring. 1. Method and assessment of docking accuracy. J Med Chem 2004;47:1739-49.",meganpearson,7,plublication
10.1257%2Fjep.2.1.153_Leamer-1978,10.1257%2Fjep.2.1.153_TL02,10.1257%2Fjep.2.1.153,"Learner, Edward, Specification Searches. New
York: John Wiley, 1978.
",tonyli0409,6,publication
PMC4166139_Ucinet-2002,PMC4166139_CM01,PMC4166139,"Ucinet 6 for Windows: Software for Social Network Analysis[program]. Harvard, MA: Analytic Technologies, 2002.",anneclarisse,8,project_name
PMC3065992_Swofford-2002,PMC3065992_MZ02,PMC3065992,"Swofford DL (2002). PAUP*. Phylogenetic Analysis Using Parsimony (*and Other Methods). Version 4.0b10 Sinauer Associates, Sunderland.",oceanwall,25,project_name
PMC1747177_Stein-2002,PMC1747177_MS05,PMC1747177,"Stein,L.D., Mungall,C., Shu,S., Caudy,M., Mangone,M., Day,A.,Nickerson,E., Stajich,J.E., Harris,T.W., Arva,A.et al.(2002) Thegeneric genome browser: a building block for a model organism systemdatabase.Genome Res.,12, 1599–1610.",mjsong1201,5,publication
PMC2935446_Ward-2004,PMC2935446_AN06,PMC2935446,"Ward,J.J. et al. (2004) The DISOPRED server for the prediction of protein disorder. Bioinformatics, 20, 2138–2139.",ankimnguyen,8,publication
PMC5129524_Lupas01,PMC5129524_JWC10,PMC5129524,"Lupas A, Van Dyke M, Stock J. 1991. Predicting coiled coils fromprotein sequences. Science 252:1162–1164.",jackchristen,16,publication
PMC2626662_Emsley01,PMC2626662_JWC08,PMC2626662," Emsley ,  P. , and  K. Cowtan .  2004 .  Coot: model-building tools for mo-lecular graphics. Acta Crystallogr. D Biol. Crystallogr.60 : 2126 – 2132 . ",jackchristen,11,publication
PMC3337072_Dunning01,PMC3337072_JWC05,PMC3337072,"Dunning  MJ,  Smith  ML,  Ritchie  ME,  Tavare  S.  beadarray:  R  classes  and  methods  for Illumina bead-based data. Bioinformatics 2007;23: 2183–2184.",jackchristen,9,publication
PMC3782730_Neelin-1995,PMC3782730_TL03,PMC3782730,"Neelin P. Minc Tools Guide. 1995 [cited 2009 8/06/2009] Available from:
http://wiki.bic.mni.mcgill.ca/index.php/MincToolsGuide.",tonyli0409,8,user_guide
PMC5435914_Huang-2007,PMC5435914_TL11,PMC5435914,"Huang,D.W., Sherman,B.T., Tan,Q., Kir,J., Liu,D., Bryant,D.,
Guo,Y., Stephens,R., Baseler,M.W., Lane,H.C. et al. (2007) DAVID
Bioinformatics Resources: expanded annotation database and novel
algorithms to better extract biology from large gene lists. Nucleic
Acids Res., 35, W169–W175.",tonyli0409,14,publication
PMC4540966_Bailey01,PMC4540966_JWC01,PMC4540966,"Bailey TL, Boden M, Buske FA, Frith M, Grant CE, Clementi L, Ren J, LiWW, Noble WS. 2009. MEME SUITE: tools for motif discovery andsearching.Nucleic Acids Res.37:W202–W208.",jackchristen,17,publication
PMC4540966_Bailey01,PMC4540966_JWC01,PMC4540966,"Bailey TL, Boden M, Buske FA, Frith M, Grant CE, Clementi L, Ren J, LiWW, Noble WS. 2009. MEME SUITE: tools for motif discovery andsearching.Nucleic Acids Res.37:W202–W208.",jackchristen,15,publication
PMC4540966_Bailey01,PMC4540966_JWC01,PMC4540966,"Tamura   K,   Dudley   J,   Nei   M,   Kumar   S.   2007.   MEGA4:   MolecularEvolutionary  Genetics  Analysis  (MEGA)  software  version  4.0.MolBiol Evol.24:1596–1599",jackchristen,17,publication
PMC4540966_Bailey01,PMC4540966_JWC01,PMC4540966,"Tamura   K,   Dudley   J,   Nei   M,   Kumar   S.   2007.   MEGA4:   MolecularEvolutionary  Genetics  Analysis  (MEGA)  software  version  4.0.MolBiol Evol.24:1596–1599",jackchristen,15,publication
PMC3768679_SAS-2002,PMC3768679_HR01,PMC3768679,"SASSystemforwindows(StatisticalAnalysisSystem),versão9.1.3ServicePack3.SASInstituteInc,2002-2003,Cary,NC,USA",henryrossiter,9,project_name
PMC4540966_Rodrigo01,PMC4540966_JWC05,PMC4540966,"Rodrigo  AG,  Learn  GH.  2001.  Computational  and  evolutionaryanalysis    of    HIV    molecular    sequences.    Boston:    KluwerAcademic Publishers.",jackchristen,17,publication
PMC3065992_Nylander-2004,PMC3065992_MZ06,PMC3065992,"Nylander  JAA  (2004).  MrModeltest  v.  2.  Program  distributed  by  the  author. Evolutionary Biology Centre, Uppsala University.",oceanwall,25,project_name
PMC4666316_Rashidi_2013,PMC4666316_TZ23,PMC4666316," Rashidi P, Mihailidis A. A survey on ambient assisted-living tools for older adults. IEEE J Biomed Health Inform. 2013; 17(3):579–590. [PubMed: 24592460] ",realrichardparker,13,publication
PMC4875560_Harrell01,PMC4875560_JWC01,PMC4875560,"Harrell FE.Regression Modeling Strategies: With Applications to Linear Models, Logisticand Ordinal Regression, and Survival Analysis. New York, NY: Springer; 2015.",jackchristen,9,publication
PMC3309518_Rorden-2000,PMC3309518_MS05,PMC3309518,"Rorden C, Brett M. Stereotaxic display of brain lesions.Behav Neurol2000;12: 191–200.",mjsong1201,7,publication
PMC3177212_Beitz01,PMC3177212_JWC04,PMC3177212,"Beitz,E. (2000) TEXshade: shading and labeling of multiplesequence alignments using LATEX2 epsilon.Bioinformatics,16,135–139.",jackchristen,12,publication
PMC2649809_Keller-2002,PMC2649809_JS31,PMC2649809,"Keller, A., Nesvizhskii, A. I., Kolker, E., and Aebersold, R. (2002) Empiricalstatistical model to estimate the accuracy of peptide identifications madeby MS/MS and database search.Anal. Chem.74,5383–5392",jcsick,15,publication
