selection,coder,article,quote,page,mention_type,certainty,memo
PMC4317475_CB02,courtneybroderick,PMC4317475,"The hybridization images were analyzed by Agilent
DNA microarray Scanner (Agilent Technology, Santa Clara, CA,
USA) and the data quantification was performed using Agilent
Feature Extraction software 9.3.2.1 (Agilent Technology, Santa
Clara, CA, USA)",3,software,10,Authors call it software.
PMC3049466_SK03,shruthikrish,PMC3049466,"We used OriginPro 8 (OriginLab, Northampton, MA, USA)software to create graphs, for curve fitting, and statisticaltesting",3,software,9,says software in name
PMC5293859_SK01,shruthikrish,PMC5293859,"We conducted all statistical analyses using SAS V.9.3 (SASInstitute, Cary, North Carolina, USA). ",2,software,9,has a version number
PMC5271396_CB04,courtneybroderick,PMC5271396,"Publication bias was assessed by using Begg’s test and Egger’s test.32,33 STATA version 12.0 (Stata Corporation, College Station, TX, USA) was used to perform all the analyses.",2,software,10,I conducted a Google search that said STATA was a form of software.
PMC3474945_AN01,ankimnguyen,PMC3474945,"
Statistical analysis for the LTT validation results was performed by using the Chi-square test (Prism 5, GraphPad software, La Jolla, USA).",3,software,10,Stated in article.
PMC4736987_HR02,henryrossiter,PMC4736987,ll analyses were performedusing R statistical programming language.18,3,software,8,not sure if a programming language is software
PMC3935166_MZ42,oceanwall,PMC3935166,"Thevastmajorityofstudents(94%,n=274)gaveanoverallratingfor“OnlineTED”of""excel-lent""or""verygood"".",4,software,10,website indicates that it's a web-based app
PMC2803435_EK07,evelynkue,PMC2803435,2D depiction of the pharmacophore features perceived from the Ligand-bound PDE4 structure using the LigandScout program.,7,software,7,same memo as above
PMC4559775_EK01,evelynkue,PMC4559775,"Statistical analyses were performed using statistical software (SPSS version 18.0; SPSS Inc., Chicago, IL, USA) and SAS version 9.4 (SAS Institute, Cary, NC, USA).",3,software,10,"SPSS has been used in so many other articles, and I know it's software."
PMC3341159_TZ09,realrichardparker,PMC3341159,"In  cosedimentation  assays  in  vitro involving reconstituted keratin filaments, the fraction of bound proteins (Src FL or Src CD) was quantified using ImageJ in a similar manner, except that signal intensity of pelleted Src was divided by total Src signal intensity (total found in supernatant and pellet fractions).",7,software,10,"Mentions ImageJ, the same image processing software as before"
PMC3692048_HR16,henryrossiter,PMC3692048,"expres-sion annotation has been incorporated into the web server,enabling the user to perform advanced result filtering",2,software,10,this is refering to the DIANA software mentioned earlier
PMC4173757_MS01,mjsong1201,PMC4173757,"The  permeability  was  determined  off-line  from  the pre-collected  images  by  using  ImageJ  (National  Institutes of Health, Bethesda, MD, USA).",6,software,10,ImageJ is an open source image processing program designed for scientific multidimensional images.
PMC4832950_BB04,brentbiglin,PMC4832950,"All calculations were performed usingSPSS 17.0 statistical software (SPSS Inc., USA).",3,software,10,it says it's software
PMC3384331_MZ08,oceanwall,PMC3384331,Isoelectric points and molecular masses were determinedusing Compute pI/MW tool (29).,3,software,10,"googled software name, confirmed status"
PMC2650971_JWC03,jackchristen,PMC2650971,Scenarios A to D were sequentially run using the R pro-gram.,3,software,7,looked it up
PMC4303630_CB03,courtneybroderick,PMC4303630,"Estimates of population diversity were calculated
by rarefaction (which controls for unequal
sample sizes) using EstimateS (Colwell, 2006).",3,software,10,Googled it and it is software
PMC3284254_EK01,evelynkue,PMC3284254,"Forward   and   reverse   primers   were   designed   usingthe   PSQ   Assay   Design   Software   (Biotage,   Uppsala,   UppsalaCounty,  Sweden).",3,software,10,Authors call it software.
PMC4675898_EK03,evelynkue,PMC4675898,MKKK18 protein bands were quantified usingImageJ software and normalized to the control band (set as 1),12,software,10,Same memo as the first
PMC2703206_WW06,w1001766,PMC2703206," Western blot analysis to demonstrate the existence of CA isozymes I, II, and III in the rat CB.",5,other,10,"this is an analytica technique, says wekipedia"
PMC3939454_SA41,sehreenali,PMC3939454,"All analyses in this paper were performed using R v.2.15.2 and some of its packages, including ‘‘iRefR’’ v.1.0012, ‘‘igraph’’ v.0.64, and ‘‘org.Sc.sgd.db’’ v.2.9.1.",7,software,10,googled it and said it was a package of the software
PMC3880993_TZ05,realrichardparker,PMC3880993,"The  data  were  analyzed  by  the
    chi
    -square  test  using  SPSS  software  version  16.0.  ",6,software,10,SPSS is a well known piece of statistical analysis software
PMC3467446_CB01,courtneybroderick,PMC3467446," Statistical analysis was performed
using Statistical Package for the Social Sciences (SPSS) (Version
9.0, SPSS, Inc., Chicago, IL, USA).",2,Software,10,"this is a software package, according to Google"
PMC4387613_HR03,henryrossiter,PMC4387613,"Data were exported to Microsoft Excel spreadsheets and analyzed using SAS (Statistical Analysis System), SPSS (Statistical Package for Social Sciences), and R Studio softwares.",2,software,10,common Statistical analysis software
PMC5400067_MS01,mjsong1201,PMC5400067,The  transcribed  FGDs  and  interviews  were  thematically  analysed using MAXQDA 2 software.,5,software,10,it says software
PMC3013677_MS21,mjsong1201,PMC3013677,"The subcellular localization of globularproteins is predicted with BaCelLo (36), which discrimin-ates four localizations in animals (secretory pathway,cytoplasm,  nucleus  and  mitochondrion)  with  74%accuracy.",3,software,6,is a predictor for five classes of subcellular localization
PMC5011596_SK01,shruthikrish,PMC5011596,"For the analysis on the collected data, correlational and linear regression analy-ses were conducted using the SPSS 18.0 program and Cronbach’s alpha coefficient.",1,software,9,says program and I googled it
PMC2935446_AN04,ankimnguyen,PMC2935446,"(ii) methods built utilizing machine-learning classifiers, such as DISpro (Hecker et al., 2008), DISOPRED (Jones and Ward, 2003) DISOPRED2 (Ward et al., 2004), PrDOS (Ishida and Kinoshita, 2007), POODLE- S (Shimizu et al., 2007a), POODLE-L (Hirose et al., 2007), POODLE-W (Shimizu et al., 2007b), Spritz (Vullo et al., 2006), DisPSSMP (Su et al., 2006), DisPSSMP2 (Su et al., 2007), IUP (Yang and Yang, 2006), NORSnet (Schlessinger et al., 2007b) and OnD-CRFs (Wang and Sauer, 2008); ",1,software,10,Google search.
PMC3819903_JWC01,jackchristen,PMC3819903,"Immunoreactivity was analyzed using the Multi-gauge, bio-imaging program on an LAS-4000 mini (Fujifi lm Lifescan USA, Stamford, CT, USA).",3,software,6,looked it up
PMC4921791_MZ01,oceanwall,PMC4921791,"For studies comparing all four exper-imental groups, a full factorial analysis of variance (ANOVA) wasperformed in JMP Pro 12 to evaluate diet and genotype effects fol-lowed by Tukey’s HSD post-hoc test for all pairwise multiple com-parisons.",4,software,10,"googled program name, confirmed status as software"
PMC3225968_AN02,ankimnguyen,PMC3225968,"These data were assessed using SigmaPlot 10.0 (SYSTAT Software Inc., Evanston, IL) standard curve analysis under the pharma- cology function.",8,software,10,stated in article.
PMC3768664_MS03,mjsong1201,PMC3768664,Variancewasanalyzedwiththeprogram Statistix 7.0 for Windows.,4,software,10,it has version number
PMC2958506_TL02,tonyli0409,PMC2958506,"Statistical analysis was performed using the SPSS ver. 15.0
(SPSS Inc., Chicago, IL, USA). ",3,software,10,past experience
PMC4853588_JWC08,jackchristen,PMC4853588,Analysis of behavioural changesusing HomeCageScan offers a new way,4,software,10,previously called software
PMC3123123_TL04,tonyli0409,PMC3123123,The p values indicate the probability of overlap generated by a hypergeometric probability test using R.,4,software,5,google and past experience
PMC3490414_JWC04,jackchristen,PMC3490414,ormalized by LOWESSnormalization  method  in  the  TIGR  microarray  data  analysissystem version 2.19 (Saeed et al. 2003).,3,software,5,looked it up
PMC2935446_AN50,ankimnguyen,PMC2935446,"GeneSilicoMetaServer [297], MULTICOM-CMFR [69] (Cheng et al., 2005), DISOclust [97] (McGuffin, 2008) and McGuffin [379], which is a human- based consensus that uses DISOclust. More detailed description of these predictors can be found in the CASP8 abstracts at http://predictioncenter.org/casp8/doc/CASP8_book.pdf.",5,software,10,Google search.
PMC1934993_CB13,courtneybroderick,PMC1934993,(C) Ribbon drawing of the dimer of the ternary complex of SceTyrRS.,3,software,5,"Another metnion of Ribbons, which I am unsure is software."
PMC3404480_EK01,evelynkue,PMC3404480,"All statistical analyses were performed with Stata version 11 (StataCorp., USA).",3,software,10,I've coded other articles that have used Stata. I know it's software.
PMC3282807_EK03,evelynkue,PMC3282807,Therenal lipids were detected by Oil Red O staining and quantified using ImageJ software,9,software,10,Same memo as the first one.
PMC2773253_TL62,tonyli0409,PMC2773253,"The Mobyle network allows the execution of programs that are
available on different Mobyle servers from a single portal. ",5,software,7,web based environment with tools
PMC5096036_HR01,henryrossiter,PMC5096036,"Hila Benjamin: Conceptualization, methodology, software, valida-tion, formal analysis, data curation, writing–original draft, and visu-alization.",11,software,10,it is saying that someone contributed software
PMC4717961_MS01,mjsong1201,PMC4717961,"All the statistical analysis was performed usingStata10 software(StataCorp LP, College Station, TX, USA),P<0.05 was considered as statistically significant.",2,software,9,a general-purpose statistical software package
PMC2853139_JWC06,jackchristen,PMC2853139,luorescent spots that are quantified using imaging software.,7,software,10,called software
PMC5143422_HR13,henryrossiter,PMC5143422,"Subsequently, programs DAMMIN [55], GASBOR [56] and DAMAVER [57] were used to reconstruct the low-resolution shapes to a dummy atom particle model",13,software,10,Says its a program used in the quote
PMC2768165_PS03,ppseguel,PMC2768165,"Statistical differences were first analyzed by ANOVA todetermine overall treatment effects (genotype or exercise), followed by posthoc comparisons between concerned study groups (Statistica V6.0, StatSoft,OK).",2,software,10,"It's a statistical software, checken on google http://statistica.software.informer.com/6.0/"
PMC5466216_MS01,mjsong1201,PMC5466216,"Statistical analysis was performed using SPSS statistical software package 15.0 for Windows (SPSS Inc.,Chicago, IL).",3,software,10,it says software package
PMC3349042_JWC04,jackchristen,PMC3349042,The Western blot results were analyzed using SigmaGel software,5,software,10,called software
PMC1636350_CM87,anneclarisse,PMC1636350,MUMMALS aligns ‘FAD_binding_6’ and ‘NAD_binding_1’ for the two groups and thus misaligned the ‘fer2’ domain.,7,software,10,Google
PMC4296915_MD01,mrcyndns,PMC4296915,"Pulmonary function tests were determined by standard spirometer (Vmax series22,Sensormedics) and reference values for a Knudson 1983. ",2,hardware,8,I used google and while I couldnt find it exactly a spirometer is an instrument for measuring lung capacity
PMC4103605_MZ03,oceanwall,PMC4103605,"MSATCOM-MANDER software ( Faircloth, 2008 ) was used to identify perfect microsatel-lites containing at least fi ve repeat units for dinucleotides and four for tri-, tetra-, penta-, and hexanuclotides.",2,software,10,In text mention explicitly labels it as software
PMC2241875_EK02,evelynkue,PMC2241875,The cancer gene census (CGC) list was retrieved from theInternet      (www.sanger.ac.uk/genetics/CGP/Census/).,3,software,8,In this case I think I would consider the website a type of software but not the Internet because it is technically a database.
PMC3018006_CM02,anneclarisse,PMC3018006,The  pictures  are  picked  up  on  demand  by  a  loop  in  the controlling  LabVIEW  program.,7,software,10,Google
PMC2935446_AN47,ankimnguyen,PMC2935446,"consensus-based MD (Schlessinger et al., 2009), the propensity- based Ucon (Schlessinger et al., 2007a) and the machine learning- based NORSnet (Schlessinger et al., 2007b). Our results on the CASP8 dataset are also compared against five top-performing methods in the CASP8 experiments (Noivirt-Brik et al., 2009).",5,software,10,Google search.
PMC2935446_AN33,ankimnguyen,PMC2935446,"We utilize PSIPRED (McGuffin et al., 2000) for the SS prediction, Real-SPINE3 for the prediction of the relative solvent accessibility (RSA) and backbone dihedral torsion angles (Faraggi et al., 2009), PROFbval for the B-factor prediction and residue flexibility prediction (Schlessinger et al., 2006) and RPSP for the signal peptide prediction (Plewczynski et al., 2008). We also use IUPred to predict globular domains.",3,software,10,Google search.
PMC4280825_AN01,ankimnguyen,PMC4280825,"Docking was conducted using Glide (version 5.8, Schrçdinger, LLC, New York, NY, 2012) SP mode.",7,software,10,Google search.
PMC2731890_FJ03,jasleen29,PMC2731890,The genome-scale mapping of promoter sites has been performed by our pattern recognition software PlatProm,1,software,10,verified by google
PMC2809279_JWC01,jackchristen,PMC2809279,Linear  trends  across  quintiles  of25(OH)D and PTH were tested using or-thogonal contrasts in SUDAAN software.,1,software,10,called software
PMC5080194_MD05,mrcyndns,PMC5080194,"three-dimensional motion analysis systems6); and, recently, the use of smartphone-based goniometers7)",1,hardware,7,It is a system that has software on it
PMC4299502_HR03,henryrossiter,PMC4299502,ImageJ1.46r with a plugin provided by Agilent to import their pro-prietary format FDF images was used to analyse the images.,3,software,10,says it is a plugin for ImageJ
PMC3194040_CB01,courtneybroderick,PMC3194040,"Models of the ﬁrst and second half of DEG7 were created using the MODELLER 9v6 program [30] with multiple template alignment, using the structure ﬁles 2pzd.pdb [31], 1lcy.pdb [7], 3cs0.pdb [12] and 1ky9.pdb [9] as templates.",2,software,8,"When i Google MODELLER, it comes up as a 'computer program' but it appears to be software."
PMC3964493_AN01,ankimnguyen,PMC3964493,"Statistical analyses were performed using SPSS software v.17.0 (SPSS Inc., Chicago, IL). BMI, fat body mass, lean body mass, and blood pressure",2,software,10,"""Stated in article."""
PMC2935446_AN37,ankimnguyen,PMC2935446," The MFDp utilizes four complementary disorder predictors, IUPred LONG (IUPREDL), IUPred SHORT (IUPREDS), DISOPRED2 and DISOclust;",3,software,10,Google search.
PMC2447753_TZ33,realrichardparker,PMC2447753,"In such cases, MAGNOLIA releasestwo multiple alignments.",3,software,10,"MAGNOLIA is what the article is about, a new software for use in genetics research"
PMC3608489_TL01,tonyli0409,PMC3608489,"d. The images were imported into Volocity 4D software
(PerkinElmer, Waltham, MA) and, after image reconstruction,
exported as TIFF files. ",11,software,10,word software used
PMC4874631_EK01,evelynkue,PMC4874631,"They were transferred to a personal computer running  MevisPULMO  software  (version  1.4,  Fraunhofer MEVIS, Bremen, Germany) and analyzed for quantitative emphysema assessment by one operator (NS). ",3,software,10,Authors call it software.
PMC5132146_MP02,meganpearson,PMC5132146," Images were obtained using the ChemiDoc XRS+ Imaging System (Bio-Rad, Hercules, CA, USA)",3,hardware,10,google
PMC4589266_JWC12,jackchristen,PMC4589266,"These were carried out using the FSLeddy_correct, bet, and dtifit tools, respectively. For image regis-tration,",3,software,8,looked it up
PMC2677890_JWC07,jackchristen,PMC2677890,Fragments wereseparated by capillary electrophoresis on an ABI 3700(Applied Biosystems; Foster City; CA) and analyzedby the GeneMarker (Softgenetics; State College; PA) soft-ware.,5,software,10,called software
PMC3278723_MS02,mjsong1201,PMC3278723,The survival curves are plotted with respect to the number of weeks using SPSS software.Statistical significance was assessed using the log-rank test and is indicated (P-value).,6,software,10,it says software
PMC2731890_EK33,evelynkue,PMC2731890,Two  intragenic  promoters  found  by  PlatPromwithin the coding sequences ofhnsandhtgA/yaaWappeared to be activein vitro(35).,6,software,10,called software already
PMC4987885_EK24,evelynkue,PMC4987885,"Despite the gain of prediction quality, the top hit resultsobtained by SL2 sometimes deviate from the experimentallydetermined structure even for short loops.",3,software,10,Determined to be software.
PMC3345378_MS01,mjsong1201,PMC3345378,The Open Medicine wiki utilized the open-source platform  developed  by  Mediawiki  (the  same  software application used by Wikipedia) to create a viewing and navigating experience that would likely be familiar to users of the site (Fig. 1).,2,software,10,"MediaWiki is a free software open source wiki package written in PHP, originally for use on Wikipedia."
PMC4819867_MS02,mjsong1201,PMC4819867,"Statistical analyses were carried out using Stata (Version 13.1; StataCorp LP, College Station, TX, USA) and SPSS (Version 22; release 22.0.0.0, IBM Corp, New York, USA). ",5,software,10,Data Analysis and Statistical Software for Professionals
PMC2447753_TZ01,realrichardparker,PMC2447753,MAGNOLIA: multiple alignment of protein–codingand structural RNA sequences,1,software,10,"MAGNOLIA is what the article is about, a new software for use in genetics research"
PMC5374131_FJ01,jasleen29,PMC5374131,"All statistical analyses were performed using SPSS statistical software (SPSS for Windows, version 13; SPSS Inc., IL)",3,software,10,verified by google
PMC4987885_EK05,evelynkue,PMC4987885,The employment of the NGL viewer forvisualization of the protein under investigation andinteractive selection of appropriate loops makes SL2independent of third-party plug-ins and additional in-stallations.,1,software,10,Already determined it's software.
PMC4634381_MS04,mjsong1201,PMC4634381,Intensity of lipofuscinfluorescence (red signal) ineach section was automatically calculated using the ImageJ soft-ware and was then normalized for the length of the RPE under-lying the area offluorescence.,12,software,10,it says software
PMC3463497_MD01,mrcyndns,PMC3463497,"We also consider the utility and power of functional metagenomics for mining such environments for novel genes and proteins, as well as the implications and possible applications for future research.",1,other,9,I googled it and it appears to be a field that encompasses various tools and techniques
PMC5372019_TL02,tonyli0409,PMC5372019,"The central waveform is estimated
by the inbuilt software, automatically, with the
help of a validated generalised transfer function",4,software,10,word software used
PMC2731890_EK20,evelynkue,PMC2731890,"Using this criteria and thelast version of PlatProm we identified 85.5% of promotersfrom the test compilation at zero level of false positives(level 1, Figure 1",2,software,10,Called software before.
PMC4586740_TL12,tonyli0409,PMC4586740,"Images were then analyzed
using a multiparameter protocol based on the Physiology Analyst module
of ASSAY Builder software (Carl Zeiss).",18,software,10,word software used
PMC4863535_MP01,meganpearson,PMC4863535,"Biochronomer™ technology and the development of aPF530, a sustained release formulation of granisetron",1,other,5,"It's called technology, but apparently it's like a delivery technology using, like, synthesized vacuoles, so not actual tech/hardware/software."
PMC3686433_EK07,evelynkue,PMC3686433,"The  RPGM  program,39which  isalso  based  on  the  graphical  representation  of  theDNA  sequence, could be chosen as an alternative toeliminate non-coding ORFs.",12,software,10,Google says it is a gene-finding software.
PMC1636350_CM83,anneclarisse,PMC1636350,We found that the major cause of lower average column score of MUMMALS is due to a few alignments that MUMMALS gives considerably lower scores as compared to MAFFT-linsi (10 alignments with a score difference larger than 0.5).,7,software,10,Google
PMC3590560_WW02,w1001766,PMC3590560,Protein samples were prepared from cultured cells for Western blot analyses,6,other,10,This method is actually explainned within the parahraph
PMC2649809_JS27,jcsick,PMC2649809,"Protein  inference  was  performed  usingProteinProphet, and protein ratios were calculated as well.",4,software,8,google search specified as such
PMC1934993_CB02,courtneybroderick,PMC1934993,Initial phase calculation was carried out at 3.0-A˚ resolution using the program SHARP/autoSHARP (50).,3,Software,10,"I googled Sharp/auto-SHARP, and it appears to be software."
PMC1636350_CM102,anneclarisse,PMC1636350,"The best scores of MUMMALS and the best scores of other programs (ProbCons, MAFFT with different options, MUSCLE, ClustalW) are in bold.",8,software,10,Google
PMC3013778_MZ18,oceanwall,PMC3013778,"(iii) multiple sequence alignment and visualization tools,MUSCLE (19) and Jalview (20);",2,software,10,"googled name, confirmed its status from creator page"
PMC3373399_CM06,anneclarisse,PMC3373399,The images were aligned and processed using Photoshop CS4 or CS5 (Adobe).,11,software,10,Google
PMC4615379_MZ04,oceanwall,PMC4615379,Multiarray analysiswas performed with the Bio-conductor package Limma for R.,7,software,10,"R is a well known software environment, and in-text mention confirms that it's a software package of R"
PMC3982819_CM01,anneclarisse,PMC3982819,"The number of c-Fos-immunoreactive (IR) cells in the PVN and SON was counted using an Olympus Optical System (BX-51, Olympus Optical Co., Tokyo, Ja-pan), and the digitized images were analyzed with IPLab image analyzing software (Scanalytics Corp., Fairfax, VA, U.S.A.).",2,software,10,Explicitly states that it's software.
PMC1636350_CM16,anneclarisse,PMC1636350,It applies a probabilistic consis-tency  scoring  function  similar  to  the  one  in  ProbCons  (23).,4,software,10,Google search.
PMC3604266_HR01,henryrossiter,PMC3604266,"After the imaging data were stored in a Digital Imaging and Communication in Medicine (DICOM) file, they were imported to a personal computer. ",2,software,5,not sure if a file type is software
PMC1933159_MS47,mjsong1201,PMC1933159,"For querying theindex, pRuNA first identifies the loop sequences fromthe mRNA, based on the given secondary structureinformation.",4,software,7,pRuNA asks for a query mRNA sequence as well as its corresponding secondary structure in parenthesis format. It returns a list of possible regulating ncRNAs available through the Rfam database.
PMC3246293_JS42,jaskiratsingh23,PMC3246293,". It should be
modifiable by the research team that is collecting and/or managing
the data, rather than depending on the original software developers
– ease of use in the CARAT layout system is currently a focus of
ongoing development.",7,software,10,repetetive use
PMC5113931_SK01,shruthikrish,PMC5113931,The outcome measurements were combined by calculating the mean difference with 95% confidence interval. Statistical analysis was carried out using Review Manager 5.3.0.,1,software,9,has version number
PMC5334298_EK02,evelynkue,PMC5334298,These methods have evolvedover the development of further Analysis Pipeline versions.,3,software,6,It is software that is supposed to inspect flow records as they come in.
PMC2447807_HR16,henryrossiter,PMC2447807,are performed by the backend pipeline written in Java andPERL,2,software,10,a common programming language
PMC5054108_JWC13,jackchristen,PMC5054108,"We developed a system, called FragAnchor, based onthe tandem use of a neural network (NN) and a hid-den Markov model (HMM). NN is used",3,software,8,context
PMC3018006_CM01,anneclarisse,PMC3018006,A  LabVIEW  program  coordinates image  acquisition  and  motor  positioning  simultaneously.,4,software,10,Google
PMC4733777_EK02,evelynkue,PMC4733777,"All analyses were performed with SAS 9.4 system(SAS Institute, Cary, NC, USA).",3,software,10,I have seen this software in other articles before.
PMC3939454_SA45,sehreenali,PMC3939454,Both OCG and Link-communities were performed using the ‘‘linkcomm’’ R package,8,software,10,googled OCG and said it was a software
PMC4306576_JWC01,jackchristen,PMC4306576,"All analyses were conducted in Stata 12.1 using the logit, poisson, and xtlogit commands.",4,software,8,looked it up
PMC5019152_MZ01,oceanwall,PMC5019152,Prospective influenza vaccine safety surveillance using fresh data inthe Sentinel System,1,other,10,US Gov website indicates that the Sentinel System is a database
PMC3035800_RA21,raghu-achukola,PMC3035800,while all other cells werediscarded using theat3dtool.,5,software,10,mentioned before
PMC3149990_CM02,anneclarisse,PMC3149990,Requiredsoftware:MassLynxandDriftscope(Waters).,4,software,10,Explicitly states that it's software
PMC3939454_SA38,sehreenali,PMC3939454,"This paper suggests that overlapping clustering methods fail to detect subcomplexes from AP data while the core-attachment model used by CACHET and similar software seems to be the best option to this date.""",7,software,10,googled it and said it was a type of software
PMC1636350_MS25,mjsong1201,PMC1636350,"The   MUMMALS   multiple   alignment   web   server   is   at:http://prodata.swmed.edu/mummals/,  with  the  source  codeof MUMMALS available for download.",4,software,10,"They have developed MUMMALS, a program to construct multiple protein sequence alignment using probabilistic consistency."
PMC2682500_TZ04,realrichardparker,PMC2682500,"and BLAST 2 sequence (Tatusova and Madden,1999) programs on",4,software,10,BLAST 2 is an online tool for searching for similarities between gene sequences
PMC5210542_JWC07,jackchristen,PMC5210542,We collected all genome assembly data from the UCSCgenome browser (https://genome.ucsc.edu/)(27),2,software,7,looked it up
PMC2703206_WW03,w1001766,PMC2703206,"A laser scanning densitometer (GS-250 Molecular Imager System; Bio-Rad Laboratories, Hercules, CA) was used to convert the radioactive signal",3,hardware,10,looked it up on google
PMC2386104_MZ05,oceanwall,PMC2386104,"The cap-binding complex was eluted with m 7GpppG (0.2 mM; Ambion), and proteins were resolved by SDS-PAGE.",13,algorithm,10,google confirmed that SDS-PAGE = sodium dodecyl sulfate polyacrylamide gel electrophoresis
PMC3691378_MZ01,oceanwall,PMC3691378,"The MPR function of the dedicated CBCT soft-ware allows coronal, sagittal, and oblique images to becreated from the original axial slices from which the vol-ume is built.",2,software,10,in text mention explictly names it as software
PMC3010901_JWC04,jackchristen,PMC3010901,The recent round of workshops haspromoted the use of EPP,1,software,7,looked it up
PMC2886355_JWC03,jackchristen,PMC2886355,"despite expressing high levels of cycA, gem, stg, and cycB transcripts by microarray  (see  supplemental  dataset  and  JCB  DataViewer).",10,software,6,looked it up
PMC3001089_MS01,mjsong1201,PMC3001089,Chemiluminescent  signal  wasdetected on a VersaDoc Imaging system and quantified using Quantity One software (Bio-Rad Laboratories).,2,software,10,it says software
PMC2773253_TL115,tonyli0409,PMC2773253,"The design of Mobyle, which provides an effective way to
make a large panel",6,software,7,web based environment with tools
PMC3193002_SK04,shruthikrish,PMC3193002,"Genes are clustered in a pre-determined number of 12 sets usingthek-means algorithm available from Gene Spring 7.3.1 (Silicon Genetics, CA)",5,software,9,mentioned above
PMC2816832_SK01,shruthikrish,PMC2816832,"Forfragment analysis of PCR products, ABI 3100 and GeneScan3.7 (Applied Biosystems, Foster City, CA, U.S.A.) were used.",1,software,9,did a google search and found software download link
PMC4025442_PS01,ppseguel,PMC4025442,"Analyses will be performed using SAS Version 9.3, Stata Version 12 and R Version 3.1.0",9,software,10,statistical software analisis
PMC3001089_MS02,mjsong1201,PMC3001089,Phosphoimager analysiswas done with Typhoon 9400 (Amersham Biosciences)and mtDNA was quantified against the 18S rDNAsignal  using  ImageQuant  v5.0 software  (Amersham Biosciences).,2,software,10,it says software
PMC3939454_SA34,sehreenali,PMC3939454,"The results show that CACHET gives the best results in terms of similarity (geometric or hypergeometric indexes) to the MIPS reference set (this is mainly due to its better recall), while TRIBAL offers the best precision in terms of similarity and the best performance in terms of containment metrics (meet-min index).",7,algorithm,10,article confirmed that TRIBAL was an algorithm
PMC4615379_JWC02,jackchristen,PMC4615379,We used the IntaRNA tool to predict a putative interaction of the mRNAs transcribed from thesegenes and SorY.,3,software,8,looked it up
PMC1636350_CM03,anneclarisse,PMC1636350,"We show that (i) on remote homologs, MUMMALSachieves statistically best accuracy among severalleading aligners, such as ProbCons, MAFFT andMUSCLE, albeit the average improvement is small,in the order of several percent; (ii) a large collection(.10 000) of automatically computed pairwise struc-ture alignments of divergent protein domains issuperior to smaller but carefully curated datasetsfor estimation of alignment parameters and perfor-mance tests; (iii) reference-independent evaluationof alignment quality using sequence alignment-dependent structure superpositions correlates wellwith reference-dependent evaluation that comparessequence-based  alignments  to  structure-basedreference alignments.",1,software,10,I've worked with the seq alignment before.
PMC5265988_JWC03,jackchristen,PMC5265988,"Microsoft Excel and SPSS 16.0 (SPSS, Chicago, IL) were used toperform statistical analyses.",4,software,9,looked it up
PMC3138425_TL02,tonyli0409,PMC3138425,"To enable these genome-wide analyses, we inferred substitution
histories using maximum likelihood and a contextdependent
model of evolution with the PHAST package
(Hubisz et al. 2011).",2,software,8,google said it was a software package
PMC4987885_EK15,evelynkue,PMC4987885,"Since the first release of SuperLooper in 2008, the num-ber of entries deposited in the RSCB PDB has more thandoubled from 54 543 structures to 114 693 in 2015.",2,software,10,Already determined to be software.
PMC3964559_CB03,carsonbrown19,PMC3964559," This figure was drawn using
GrADS.",3,software,10,is software
PMC1636350_CM70,anneclarisse,PMC1636350,"We  reason  that  such  a  problem  of  MUMMALSis  due  to  excessive  number  of  close  homologs  in  somesequence  subgroups  in  ‘HOM+100’  test  cases,  since  ourconsistency  measure  does  not  take  into  account  similaritiesamong  the  testing  sequences.",6,software,10,Google
PMC2447781_CT06,ctjoe,PMC2447781,pFlexAna employs astatistical test to match core protein fragments that arestructurally similar and determine the geometric transfor-mations that align them.,1,software,9,Mentioned in the article that it is a protein analyzing web server.
PMC5099213_BB01,brentbiglin,PMC5099213,Data werecoded using Dedoose software.,2,software,10,says it's software
PMC3035800_RA17,raghu-achukola,PMC3035800,Theat3dtool isimplemented using theqtframework for graphical user interfaces,4,software,10,first result says qt(software)
PMC1636350_MS28,mjsong1201,PMC1636350,"Our   models   trained   on   pairs   with20–40%  identity  range  perform  better  than  several  otheraligners,  such  as  ProbCons  (23),  MAFFT  (11)  with  severaloption, MUSCLE (10) and ClustalW (7) on any testing data-set.",5,software,10,MAFFT is a multiple sequence alignment program for unix-like operating systems.
PMC2935446_AN15,ankimnguyen,PMC2935446,Table 1. List of input information sources used by disorder predictors based on machine learning classifiers (sorted by the year of publication) Reference Unpublished data Schlessinger et al. (2009) Ishida and Kinoshita (2008) Hecker et al. (2008) Wang and Sauer (2008) Shimizu et al. (2007a) Hirose et al. (2007) Shimizu et al. (2007b) Su et al. (2007) Ishida and Kinoshita (2007) Cheng et al. (2005) Ward et al. (2004) Prediction method Input information AA AA AA PSSM SS Solventaccessi- Terminus Meta predictor X X X X type propensity position profile GS-metaDisorder X X MD X X metaPrDOS DISpro X OnD-CRF X POODLE-S X X prediction bility prediction X X X X X X X indicator X POODLE-L POODLE-W DisPSSMP2 PrDOS MULTICOM-CMFR DISOPRED2,2,software,10,Google search.
